,meanFitSL,meanFitIL,meanILprop,PayWorld,PayUsed,PayEff,SimpsonIndex,GiniIndex,nInd,nPat,stratProp,payoffDis,comp,k,theta,payoffChangeRate,variance,seed,compStrength,mode,calcTime
1,4.359349471,5.320540914,0.5114075582,830,157.6088945,0.1898902344,0.319186464,0.8231494655,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,216,1,,35_mins
2,5.091612885,5.335170873,0.7524990004,830,182.3201253,0.2196628015,0.3577481483,0.7893518744,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,224,1,,35_mins
3,5.120120523,5.34579837,0.8725237178,830,184.149986,0.221867453,0.3598384013,0.7861011459,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,236,1,,35_mins
4,5.073775315,5.330518209,0.6605357857,830,181.5006897,0.2186755298,0.3572028614,0.7910903661,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,245,1,,35_mins
5,5.023401774,5.369874286,0.947899628,830,185.8912935,0.2239654138,0.3617238253,0.7829672804,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,256,1,,35_mins
6,5.188305103,5.340599195,0.9462881514,830,185.1799913,0.2231084233,0.3610495604,0.7841279521,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,263,1,,35_mins
7,5.031221537,5.351798709,0.7168768856,830,182.3486106,0.2196971212,0.3580188519,0.789509859,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,272,1,,35_mins
8,5.037516982,5.317485721,0.6321471411,830,180.7495635,0.2177705584,0.3560164845,0.7922591972,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,285,1,,35_mins
9,4.953685009,5.315738366,0.65312057,830,180.4928089,0.2174612155,0.3557928908,0.792812189,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,296,1,,35_mins
10,4.76757272,5.371583623,0.9882471254,830,186.0259763,0.2241276823,0.3619520905,0.7827011668,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2106,1,,35_mins
11,5.045541977,5.366485148,0.8070226455,830,183.737475,0.2213704518,0.3595632638,0.7872058006,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2112,1,,35_mins
12,5.010578155,5.346029889,0.7717882544,830,183.0651673,0.2205604425,0.3586897122,0.7876956123,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2126,1,,35_mins
13,5.129650427,5.330983681,0.9086789527,830,184.6268792,0.2224420232,0.3604922387,0.785157211,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2133,1,,35_mins
14,4.903374433,5.278252664,0.6580155816,830,178.1792516,0.2146737971,0.3527949612,0.7960965098,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2141,1,,35_mins
15,5.087563457,5.344452685,0.8246519574,830,183.8729875,0.2215337198,0.3597194785,0.7864497219,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2158,1,,35_mins
16,4.982094416,5.292616221,0.7371596816,830,181.3942156,0.2185472478,0.3566257457,0.7909803305,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2165,1,,35_mins
17,4.970063264,5.320778245,0.5892915561,830,178.1178562,0.2145998267,0.3529249686,0.7967807612,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2179,1,,35_mins
18,5.16815944,5.333223584,0.821356306,830,183.9653572,0.2216450087,0.3595768029,0.7862017616,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2189,1,,35_mins
19,4.980700483,5.320372348,0.6283183696,830,178.4458517,0.214995002,0.3532424654,0.7959430602,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2196,1,,35_mins
20,4.955546761,5.257285662,0.6292028643,830,177.1153405,0.2133919765,0.3512042312,0.7979091851,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2205,1,,35_mins
21,4.952673922,5.314170801,0.6851804733,830,180.9650007,0.2180301213,0.3565406313,0.791891111,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2214,1,,35_mins
22,5.139484366,5.336844658,0.7108429356,830,182.2280321,0.2195518459,0.3577759391,0.7901837538,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2225,1,,35_mins
23,4.996490274,5.336216752,0.8286382417,830,183.6351493,0.2212471678,0.3592311986,0.7872528955,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2235,1,,35_mins
24,5.061624614,5.362327946,0.8536221875,830,184.7751133,0.2226206184,0.3607212165,0.7853451569,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2241,1,,35_mins
25,5.091076,5.337626306,0.9353834224,830,184.7715181,0.2226162868,0.3605055404,0.7849017112,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2253,1,,35_mins
26,4.816546812,5.337714184,0.9873747471,830,185.2283886,0.2231667333,0.3610060134,0.7836421135,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2262,1,,35_mins
27,5.181270133,5.325024001,0.9273987375,830,184.4645409,0.2222464348,0.3602228811,0.7848209602,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2273,1,,35_mins
28,4.951725906,5.371536721,0.9708116753,830,185.5713181,0.2235799014,0.3613967482,0.7833828659,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2286,1,,35_mins
29,4.93925289,5.309223757,0.6654065646,830,179.4369179,0.2161890577,0.354525279,0.7942115865,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2298,1,,35_mins
30,4.945202896,5.299007369,0.5414440284,830,177.5510822,0.2139169665,0.3519400952,0.7972003898,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2307,1,,35_mins
